x,y
-56,580
-63,577
-53,592
-46,587
-26,592
-13,597
1,602
11,577
51,562
86,545
125,497
160,460
160,427
190,395
210,367
216,337
231,300
238,277
253,207
251,185
253,145
256,107
261,75
261,52
256,20
241,-10
233,-17
248,-32
246,-27
253,-25
246,-25
253,-32
243,-57
238,-82
236,-72
233,-65
231,-102
216,-140
202,-177
180,-245
147,-290
120,-312
105,-350
78,-372
23,-415
13,-420
13,-495
-1,-522
-68,-510
-101,-530
-107,-535
-83,-542
-103,-560
-135,-577
-147,-555
-152,-547
-150,-540
-122,-510
-91,-525
-107,-535
-137,-520
-182,-505
-211,-490
-241,-475
-332,-457
-355,-432
-402,-375
-410,-325
-441,-290
-451,-252
-466,-220
-466,-197
-486,-167
-481,-150
-476,-107
-488,-127
-493,-97
-488,-112
-468,-100
-501,-110
-481,-67
-488,7
-481,67
-478,112
-456,140
-453,162
-443,192
-456,202
-451,232
-423,267
-407,325
-392,340
-347,387
-303,420
-296,440
-256,450
-238,462
-213,467
-197,482
-207,497
-202,495
-200,495
-205,497
-192,510
-223,497
-231,470
-286,470
-332,430
-372,392
-436,302
-466,227
-481,147
-488,65
-476,-5
-476,-42
-466,-92
-451,-140
-443,-177
-441,-210
-428,-237
-433,-237
-428,-250
-426,-255
-421,-300
-370,-350
-332,-392
-258,-440
-202,-472
-152,-490
-117,-492
-98,-487
-71,-495
-31,-482
-33,-472
-13,-470
21,-482
51,-462
91,-465
120,-445
160,-405
195,-342
238,-237
256,-160
251,-87
238,-52
216,30
226,52
251,117
236,197
236,200
238,220
223,230
213,280
190,335
167,377
140,425
86,442
21,505
-66,545
-142,567
-211,542
-281,515
-357,462
-407,405
-473,320
-508,197
-523,85
-526,-2
-532,-87
-516,-145
-530,-192
-521,-130
-537,-65
-527,32
-516,130
-486,282
-421,415
-392,430
-387,440
-387,440
-370,435
-372,445
-372,452
-370,455
-372,445
-372,462
-395,452
-362,455
-360,447
-355,455
-345,475
-332,487
-327,497
-306,490
-317,500
-316,497
-303,512
-301,500
-311,495
-278,530
